INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : SAN BORJA-LIMA
CODIGO  : CERA
LATITUD : -12.102
LONGITUD: -76.999

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 05:52:12
LATITUD         : -4.44
LONGITUD        : -77
PROFUNDIDAD     : 131 km
MAGNITUD        : M7.5
DIST. EPICENTRAL: 853.0 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 10:53:32  UTC
NUMERO DE MUESTRAS         : 25001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   2.9796     5.0722        4.4826

              Z              N              E
      -0.023849       0.017446       0.009799
       0.013980       0.001932       0.000547
       0.017969       0.013949      -0.037661
      -0.021778      -0.005997       0.047402
       0.003304      -0.015310      -0.018673
       0.001381      -0.008376      -0.008506
       0.012519       0.016007       0.023176
      -0.010863       0.005611      -0.011100
       0.001606      -0.011523      -0.009074
       0.007598       0.011123       0.004873
      -0.006408      -0.019053       0.008312
       0.004065       0.015976      -0.005387
       0.001479      -0.012222       0.003773
       0.006977       0.008984      -0.009888
      -0.009546       0.021941       0.008302
      -0.007236      -0.041647      -0.002840
       0.005756       0.000243       0.006230
       0.011297       0.009917       0.006859
       0.000683       0.008236      -0.015157
      -0.006098       0.004066      -0.003480
       0.001158      -0.003722       0.018945
      -0.000567      -0.013033      -0.001718
       0.005162       0.007674      -0.016889
      -0.002868       0.005315       0.027670
      -0.005678      -0.021809      -0.025486
       0.010259       0.012082       0.009128
       0.020200       0.014509       0.022058
      -0.022217       0.007462      -0.036499
      -0.032445      -0.024684       0.008144
       0.039454      -0.025009       0.032961
       0.033145       0.032007      -0.018160
      -0.033339       0.018317      -0.037589
      -0.020209      -0.013689       0.045224
       0.012270      -0.021775      -0.002046
       0.013197       0.000684      -0.008410
       0.002092       0.012743       0.011793
      -0.009355      -0.001842      -0.028662
      -0.012375       0.007575       0.018349
       0.007182      -0.013481       0.009127
       0.023157       0.004390      -0.011456
      -0.019473       0.011279       0.008178
       0.001007      -0.018593       0.008398
       0.010514       0.009094      -0.017604
      -0.013882       0.004515       0.009557
       0.020431      -0.015172      -0.002558
       0.003923      -0.002304      -0.009557
      -0.018799       0.011751       0.013721
      -0.004604      -0.013630      -0.003502
       0.019876       0.007299       0.006510
       0.007092       0.014951      -0.004129
      -0.016178      -0.017873      -0.004812
      -0.018581       0.001934       0.001416
       0.025197      -0.012579       0.012810
       0.034802       0.007940      -0.009853
      -0.040090       0.015663      -0.007974
      -0.023829      -0.010041       0.015020
