INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : PUCALLPA-UCAYALI
CODIGO  : PUCA
LATITUD : -8.390
LONGITUD: -74.665

2. SISMO
FECHA LOCAL     : 2021/09/06
HORA LOCAL      : 16:42:49
LATITUD         : -8.1
LONGITUD        : -76
PROFUNDIDAD     : 149 km
MAGNITUD        : M5
DIST. EPICENTRAL: 150.6 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/09/06 21:43:08  UTC
NUMERO DE MUESTRAS         : 9001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.8790     0.8497        0.5890

              Z              N              E
      -0.000029      -0.004604       0.002009
       0.000239      -0.002734       0.000847
       0.003147       0.001669       0.002609
       0.000949      -0.000694      -0.001075
      -0.002467      -0.001592      -0.000581
      -0.001571       0.003034      -0.000627
      -0.000872       0.004932      -0.002089
       0.000314       0.001338       0.001221
      -0.001751      -0.001486      -0.000734
      -0.003099      -0.000776       0.001136
      -0.003155      -0.005190      -0.004073
      -0.001870      -0.003412      -0.003276
       0.000294       0.003511      -0.001994
      -0.000214       0.003387      -0.003889
       0.000461      -0.000131       0.003433
      -0.001468      -0.000558       0.002289
      -0.002401       0.001524      -0.001529
      -0.001875      -0.000254      -0.002693
      -0.000240       0.001422       0.000153
       0.001509       0.004254       0.001760
       0.000741       0.000145       0.001345
      -0.000117      -0.000826       0.000296
       0.000022       0.001195      -0.001742
      -0.001057      -0.005146       0.000606
      -0.003583      -0.006339      -0.000927
       0.000051       0.001245      -0.005035
       0.001324      -0.001334      -0.002090
      -0.001150      -0.000988       0.000252
      -0.001323       0.000527      -0.001622
      -0.000101      -0.003060       0.000444
      -0.000512      -0.001542       0.002376
      -0.000612       0.000017       0.002666
       0.002234       0.003586       0.001932
       0.002195       0.001229       0.002306
      -0.000370      -0.000852      -0.000792
      -0.000025      -0.000378      -0.001608
       0.003999      -0.003246       0.002716
       0.001337      -0.000442      -0.001997
       0.002063       0.000902      -0.002904
       0.003769       0.001449       0.000328
      -0.001107      -0.001837      -0.000516
      -0.001109      -0.003686      -0.003935
       0.000981      -0.000420      -0.001520
       0.003118      -0.003682       0.001084
       0.000870      -0.004198      -0.001834
       0.000156      -0.000314       0.001377
