INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : HUANCANO-ICA
CODIGO  : PRS2
LATITUD : -13.642
LONGITUD: -75.545

2. SISMO
FECHA LOCAL     : 2021/01/20
HORA LOCAL      : 17:59:13
LATITUD         : -15.04
LONGITUD        : -75.64
PROFUNDIDAD     : 42 km
MAGNITUD        : M5.2
DIST. EPICENTRAL: 156.0 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/01/20 22:59:23  UTC
NUMERO DE MUESTRAS         : 10001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   4.0233     5.8962        5.9950

              Z              N              E
       0.056541       0.007565      -0.029242
      -0.087805      -0.124166      -0.017923
      -0.039874      -0.052106       0.024965
       0.131109       0.129877      -0.039983
      -0.000097       0.095040      -0.001754
      -0.019225      -0.060621       0.005348
      -0.002417      -0.091204      -0.029663
      -0.003925       0.012205       0.068905
       0.085739       0.114965      -0.006042
       0.037576       0.026331      -0.067539
      -0.015260      -0.083623       0.001201
      -0.006348      -0.028352      -0.007582
       0.028718       0.079498       0.010236
       0.051724       0.050411       0.004392
      -0.023061      -0.025804      -0.069769
      -0.025630      -0.021561      -0.047811
       0.057643       0.014389       0.019315
       0.043691       0.081367       0.020379
      -0.001661       0.035163       0.015980
       0.002618      -0.066477      -0.045271
       0.027097      -0.022840      -0.041484
       0.016347       0.056873       0.040075
       0.037766       0.072640       0.015205
       0.032894      -0.002903      -0.006761
      -0.030695      -0.059540      -0.020969
       0.037527       0.015091      -0.053808
       0.059829       0.068782       0.019935
       0.033450       0.068049       0.025332
       0.023644       0.006991      -0.059046
       0.006254      -0.060385      -0.004378
       0.027989       0.004245      -0.005508
       0.016272       0.053420      -0.026874
       0.024432       0.048164       0.043741
      -0.025921      -0.009374      -0.000910
      -0.016693      -0.059552      -0.031217
       0.050543       0.008673      -0.015723
       0.006567       0.087612      -0.009655
      -0.001988       0.052165       0.056329
       0.015393      -0.070778       0.018190
      -0.011701      -0.078934      -0.048297
       0.004287       0.059912      -0.005103
       0.026163       0.132223       0.004125
       0.024322       0.003690       0.029303
       0.015506      -0.110052       0.002698
      -0.029816      -0.035861      -0.034842
       0.029241       0.103550       0.000521
       0.075160       0.080309      -0.028285
      -0.012339      -0.079821      -0.022954
      -0.020176      -0.053924      -0.056279
       0.018793       0.090805       0.009808
       0.048491       0.116947       0.061481
       0.064329      -0.018059      -0.065911
      -0.042021      -0.102327      -0.040600
      -0.043999       0.056049       0.026611
       0.072748       0.132260       0.038505
       0.075149      -0.008089      -0.001782
      -0.007659      -0.137180      -0.053700
      -0.083367      -0.020983      -0.005155
       0.061309       0.150748       0.023973
       0.105327       0.046132       0.035851
      -0.043059      -0.099012      -0.039507
      -0.042808      -0.081895      -0.091945
       0.009424       0.092226       0.048675
       0.102609       0.129806       0.051815
       0.048481      -0.046187      -0.081411
      -0.063217      -0.107772      -0.015426
      -0.019604       0.021671       0.025258
       0.083528       0.140955      -0.023044
       0.061027       0.025203       0.029442
      -0.067616      -0.063305      -0.045927
      -0.018826      -0.017507      -0.057595
       0.078212       0.043964      -0.010299
