INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CHICLAYO-LAMBAYEQUE
CODIGO  : CHYA
LATITUD : -6.770
LONGITUD: -79.856

2. SISMO
FECHA LOCAL     : 2021/02/13
HORA LOCAL      : 00:18:31
LATITUD         : -4.2
LONGITUD        : -80.51
PROFUNDIDAD     : 73 km
MAGNITUD        : M5.8
DIST. EPICENTRAL: 295.1 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/02/13 05:19:00  UTC
NUMERO DE MUESTRAS         : 13501
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.7787     1.1460        1.3376

              Z              N              E
       0.006259       0.005242      -0.003097
      -0.003208       0.003093      -0.013319
      -0.001626      -0.001918       0.010113
       0.012474      -0.000797      -0.001929
      -0.001818      -0.003187      -0.002166
      -0.009800      -0.003579       0.007720
       0.011857      -0.005942      -0.000980
      -0.002048       0.007066      -0.002990
      -0.004932       0.003412      -0.003540
       0.009178      -0.006801       0.001789
       0.004646       0.001262      -0.003968
      -0.009560       0.002879       0.005004
      -0.002791      -0.005407      -0.000435
       0.015265      -0.002784      -0.004050
      -0.011154       0.002815       0.005133
       0.002783      -0.005754      -0.002094
       0.003913      -0.002345       0.002848
      -0.000989       0.007714       0.004777
       0.000081       0.002054       0.001417
       0.003812      -0.004138      -0.007216
       0.007164       0.001410      -0.002981
      -0.017883      -0.000569       0.003047
       0.015365      -0.005256      -0.004354
      -0.000754      -0.000185       0.001893
      -0.001207       0.002104       0.002192
       0.008076       0.001057      -0.005273
      -0.008411      -0.000619      -0.002146
       0.012422       0.000688       0.002464
      -0.008491      -0.003171      -0.001889
       0.000585      -0.004793       0.001341
       0.005839       0.002199       0.004839
      -0.004781       0.000102      -0.000966
       0.008523      -0.000097      -0.008102
      -0.009094       0.003223      -0.003529
       0.006189      -0.002876       0.014736
       0.012934      -0.001415      -0.001332
      -0.014965      -0.000949      -0.009428
       0.002212      -0.002644       0.000292
      -0.000493       0.005389      -0.006160
       0.002431       0.001447      -0.000848
       0.005822      -0.001114       0.004027
       0.001316      -0.007330       0.006833
      -0.001477      -0.007122      -0.004134
      -0.010468       0.008604       0.001913
       0.018256       0.002282       0.003827
      -0.001043       0.001050      -0.017834
      -0.010388       0.004081       0.001879
       0.013824      -0.004087       0.020954
       0.012201      -0.007961       0.005187
      -0.017462      -0.005185      -0.012641
      -0.018441       0.003853      -0.007269
       0.020818       0.009857      -0.003263
       0.004266      -0.000230      -0.002657
       0.000246      -0.010539       0.009430
       0.009747      -0.004367       0.013918
      -0.008714      -0.004580       0.003090
      -0.013202       0.009240      -0.012001
